_id,id,english_name,japanese_name,org_lang_name,nick_name,country_id,position,birthday
,JP0001,Eiji Kawashima,川島 永嗣,川島 永嗣,,81,GK,1983-03-20
,JP0002,Maya Yoshida,吉田 麻也,吉田 麻也,,81,DF,1988-08-24
,JP0003,Hiroki Sakai,酒井 宏,酒井 宏,,81,DF,1990-04-12
,JP0004,Yuto Nagatomo,長友 佑都,長友 佑都,,81,DF,1986-09-12
,JP0005,Makoto Hasebe,長谷部 誠,長谷部 誠,,81,MF,1984-01-18
,JP0006,Genki Haraguchi,原口　元気,原口　元気,,81,MF,1991-05-09
,JP0007,Takashi Inui,乾 貴士,乾 貴士,,81,MF,1988-06-02
,JP0008,Yuya Osako,大迫 勇也,大迫 勇也,,81,FW,1990-05-18
,AU0001,Mile Jedinak,マイル　ジェディナク,Mile Jedinak,,61,MF,1984-08-03
,KR0001,Jo Hyeon-woo,チョ　ヒョヌ,조현우,,82,GK,1991-09-25
,KR0002,Son Heung Min,ソン　フンミン,손흥민,,82,FW,1992-07-08
,BE0001,Romelu Lukaku,ロメル　ルカク,Romelu Lukaku,,32,FW,1993-05-13
,HR0001,Luka Modrić,ルカ モドリッチ,Luka Modrić,,385,MF,1985-09-09
,DK0001,Kasper Schmeichel,カスパー シュマイケル,Kasper Schmeichel,,45,GK,1986-11-05
,DK0002,Christian Eriksen,クリスティアン エリクセン,Christian Eriksen,,45,MF,1992-02-14
,UK0001,Harry Kane,ハリー ケイン,Harry Kane,,44,FW,1993-07-28
,ES0001,Andrés Iniesta,アンドレス イニエスタ,Andrés Iniesta,,34,MF,1984-05-11
,ES0002,Diego Costa,ジエゴ コスタ,Diego da Silva Costa,,34,FW,1988-10-07
,FR0001,Antoine Griezmann,アントワーヌ グリーズマン,Antoine Griezmann,,33,FW,1991-03-21
,FR0002,Kylian Mbappé,キリアン エムバペ,Kylian Mbappé,,33,FW,1998-12-20
,DE0001,Manuel Neuer,マヌエル ノイアー,Manuel Neuer,,49,GK,1986-03-27
,DE0002,Toni Kroos,トニ クロース,Toni Kroos,,49,MF,1990-01-04
,DE0003,Mesut Özil,メスト エジル,Mesut Özil,,49,MF,1988-10-15
,DE0004,Thomas Müller,トーマス ミュラー,Thomas Müller,,49,MF,1989-09-13
,PT0001,Pepe,ペペ,Képler Laveran Lima Ferreira,Pepe,351,DF,1983-02-26
,PT0002,Cristiano Ronaldo,クリスティアーノ ロナウド,Cristiano Ronaldo,,351,FW,1985-02-05
,PL0001,Robert Lewandowski,ロベルト レバンドフスキ,Robert Lewandowski,,48,FW,1998-08-21
,EG0001,Mohamed Salah,モハメド サラー,محمد صلاح,,20,FW,1992-06-15
,SN0001,Sadio Mané,サディオ マネ,Sadio Mané,,221,FW,1992-04-10
,AR0001,Lionel Messi ,リオネル メッシ,Lionel Messi ,,54,FW,1987-06-24
,AR0002,Sergio Agüero,セルヒオ アグエロ,Sergio Agüero,,54,FW,1988-06-02
,BR0001,Philippe Coutinh,フィリペ コウチーニョ,Philippe Coutinh,,55,MF,1992-06-12
,BR0002,Neymar,ネイマール,Neymar,,55,FW,1992-02-05
,CO0001,James Rodríguez,ハメス ロドリゲス,James Rodríguez,,57,MF,1991-07-12
,UY0001,Luis Suárez,ルイス　スアレス,Luis Suárez,,598,FW,1987-01-24
,UY0002,Edinson Cavani,エディンソン カバーニ,Edinson Cavani,,598,FW,1987-02-14